Date,RFID,PIntake_kg,FoodType
8/4/12,840006797330323,0,0
8/4/12,840006879113478,0,2
8/4/12,840006879113478,0.129,1
8/4/12,840006895734505,0,0
8/4/12,840006904358142,0,2
8/4/12,840006904358142,0.344,1
8/4/12,840006926264030,0,2
8/4/12,840006926264030,0.172,1
8/4/12,840007051385897,0.043,1
8/4/12,840007051385897,0,2
8/4/12,840007088739271,0,2
8/4/12,840007088739271,0.344,1
8/4/12,840007162873382,0.043,1
8/4/12,840007182293451,0.043,1
8/4/12,840007182293451,0,2
8/4/12,840007249613476,0,0
8/4/12,840007347329388,0.129,1
8/4/12,840007347329388,0,2
8/4/12,840007595102280,0,0
8/4/12,840007623137528,0.387,1
8/4/12,840007623137528,0,2
8/4/12,840007719859142,0.301,1
8/4/12,840007719859142,0,2
8/4/12,840007754409049,0.602,1
8/4/12,840007754409049,0,2
8/4/12,840007771070489,0.172,1
8/4/12,840007771070489,0,2
8/4/12,840007797821646,0,0
8/4/12,840007877840344,0,0
8/4/12,840007999644348,0,0
8/4/12,840008001373468,0,2
8/4/12,840008001373468,0.215,1
8/4/12,840008099996144,0,0
8/4/12,840008190606654,0.043,1
8/4/12,840008207939535,0,0
8/4/12,840008218942243,0,0
8/4/12,840008460717929,0.43,1
8/4/12,840008460717929,0,2
8/4/12,840008598977914,0,0
8/4/12,840008603534901,0.129,1
8/4/12,840008603534901,0,2
8/4/12,840008625334903,0,0
8/4/12,840008775590410,0,0
8/4/12,840008790743241,0,0
8/4/12,840008884324061,0.043,1
8/4/12,840008884324061,0,2
8/4/12,840009023502075,0,2
8/4/12,840009023502075,0.129,1
8/4/12,840009125661502,0,0
8/4/12,840009127876394,0,2
8/4/12,840009127876394,0.172,1
8/4/12,840009186402403,0,0
8/4/12,840009220520303,0,0
8/4/12,840009222448598,0.387,1
8/4/12,840009222448598,0,2
8/4/12,840009227823180,0.43,1
8/4/12,840009227823180,0,2
8/4/12,840009334216105,0.129,1
8/4/12,840009334216105,0,2
8/4/12,840009394406815,0.301,1
8/4/12,840009394406815,0,2
8/4/12,840009530043670,0,0
